Media,ABRC-new,Genotype,MRPL,MRVL,MRVA,noLRpMR,Basal,Branched,Apical,Straightness,TRS,LRDpMR,LRDpBZ,Depth,LRL,MRpTRS,aLRL,aLRLpMRL,LRLpMRL,BasalpMRL,BranchedpMRL,ApicalpMRL,PC1,PC2,PC3
0,CS28051,Arby-1,3.5893,3.14826,4.87927,5,0.130082,0.561507,2.897711,0.877124,4.575697,1.393029,8.904607,3.136851,0.986397,0.784426941,0.1972794,0.054963196,0.274815981,3.6241607,15.64391386,80.73192545,1.717560243,-1.927781309,1.879536198
0,CS28051,Arby-1,3.41586,2.96287,9.66507,11,0.081461,1.370849,1.96355,0.867386,6.25767,3.220273,8.024224,2.920815,2.84181,0.545867711,0.258346364,0.075631426,0.831945689,2.384787433,40.1318848,57.48332777,-0.549144045,0.196310874,1.102971015
75,CS28051,Arby-1,4.33222,3.31756,-37.662601,21,0.074021,3.043199,1.215,0.765787,12.143213,4.847399,6.900634,2.626255,7.810993,0.356760604,0.371952048,0.085857147,1.803000078,1.708615906,70.24571698,28.04566712,-4.465615949,2.721533532,-0.474443549
75,CS28051,Arby-1,1.37393,1.11416,-20.942699,3,0.168182,0.374463,0.831285,0.810929,1.99458,2.183517,8.011474,1.040557,0.62065,0.688831734,0.206883333,0.150577783,0.451733349,12.24094386,27.25488198,60.50417416,2.875874531,2.270618584,1.302180697
75,CS28051,Arby-1,4.50296,3.75211,-13.7531,14,0.086721,2.669119,1.74712,0.833254,11.444933,3.109066,5.245176,3.644534,6.941973,0.393445728,0.495855214,0.110117615,1.541646606,1.925866541,59.27476593,38.79936753,-3.678006452,0.910617686,0.904454589
75,CS28051,Arby-1,4.7738,3.77897,-21.980801,20,0.122642,2.639358,2.0118,0.791606,10.488985,4.189535,7.5776,3.504274,5.715185,0.455125067,0.28575925,0.059859912,1.197198249,2.569064477,55.28840756,42.14252797,-3.315368133,0.70287794,-0.11957545
125,CS28051,Arby-1,1.08927,0.982983,14.4,1,0.0508,0,1.03847,0.902424,1.270152,0.918046,0,0.952101,0.180882,0.857590273,0.180882,0.166058002,0.166058002,4.663673837,0,95.33632616,4.558920919,-0.095483414,2.492323031
125,CS28051,Arby-1,1.60652,1.41062,2.08257,11,0.106861,1.148419,0.35124,0.878059,2.356351,6.847098,9.578385,1.409688,0.749831,0.681782977,0.068166455,0.042431127,0.4667424,6.651706795,71.48488659,21.86340662,1.003320619,3.275484922,-1.870001062
125,CS28051,Arby-1,1.48079,1.3357,-3.30187,7,0.170361,0.81641,0.494019,0.902019,2.14698,4.727206,8.574123,1.333483,0.66619,0.689708334,0.09517,0.064269748,0.449888235,11.50473734,55.13340852,33.36185415,1.962801144,2.578188814,-0.853556331
125,CS28051,Arby-1,1.93634,1.64167,10.7843,11,0.043361,1.467719,0.42526,0.847821,3.861792,5.68082,7.494622,1.612676,1.925452,0.501409708,0.175041091,0.090397911,0.994377021,2.239327804,75.79862008,21.96205212,-0.359215188,3.478838986,-0.889582761
0,CS28053,Ba-1,3.01818,2.57508,17.896099,7,0.193582,0.894788,1.92981,0.85319,4.485529,2.319278,7.823082,2.450485,1.467349,0.672870469,0.209621286,0.069452877,0.486170142,6.41386531,29.64660822,63.93952647,1.292292268,-0.263186301,1.384818952
0,CS28053,Ba-1,3.38047,2.90108,19.7894,11,0.068761,1.335829,1.97588,0.858188,5.39099,3.253985,8.234587,2.729752,2.01052,0.627059223,0.182774545,0.054067791,0.594745701,2.034066269,39.51607321,58.44986052,0.127506495,-0.141799326,0.778663268
0,CS28053,Ba-1,0.245284,0.217481,-29.7449,1,0.148042,0,0.097242,0.88665,0.257984,4.076907,0,0.188826,0.0127,0.950772141,0.0127,0.051776716,0.051776716,60.35534319,0,39.64465681,6.173545892,2.677681103,-0.700720495
